Datum		    |    Material   |  Tjocklek, um  |   Spänning, V   |    Ström, A    |   Ytresistivitet, uOhm   |  Ytresistans, mOhm/s  |        Min        |         Max       |   %-skillnad

2024-11-14 11:54    |    Guld       |    0,300000    |     0,002523    |    0,204154    |         0,016805         |       56,016561       |     56,012681     |     56,018510     |    0,010407
2024-11-14 11:55    |    Guld       |    0,300000    |     0,002523    |    0,204153    |         0,016804         |       56,013685       |     56,010883     |     56,016668     |    0,010329
2024-11-14 11:55    |    Guld       |    0,300000    |     0,002341    |    0,204151    |         0,015590         |       51,965361       |     51,903002     |     52,040442     |    0,264801
2024-11-14 11:56    |    Guld       |    0,300000    |     0,002344    |    0,204132    |         0,015616         |       52,053870       |     51,940628     |     52,099777     |    0,306407
2024-11-14 11:56    |    Guld       |    0,300000    |     0,002423    |    0,204135    |         0,016138         |       53,794401       |     53,790949     |     53,797283     |    0,011776
2024-11-14 11:57    |    Guld       |    0,300000    |     0,002359    |    0,204141    |         0,015715         |       52,382685       |     52,369107     |     52,399066     |    0,057207
2024-11-14 11:57    |    Guld       |    0,300000    |     0,002322    |    0,204142    |         0,015467         |       51,556230       |     51,539003     |     51,579345     |    0,078275
2024-11-14 11:58    |    Guld       |    0,300000    |     0,002355    |    0,204136    |         0,015687         |       52,291356       |     52,274908     |     52,318541     |    0,083469
2024-11-14 11:58    |    Guld       |    0,300000    |     0,002437    |    0,204154    |         0,016231         |       54,102590       |     54,099732     |     54,104706     |    0,009194
2024-11-14 11:59    |    Guld       |    0,300000    |     0,002438    |    0,204142    |         0,016236         |       54,118461       |     54,113861     |     54,122702     |    0,016338
2024-11-14 11:59    |    Guld       |    0,300000    |     0,002328    |    0,204142    |         0,015508         |       51,693142       |     51,650456     |     51,719354     |    0,133392
