Datum		    |    Material   |  Tjocklek, um  |   Spänning, V   |    Ström, A    |   Ytresistivitet, uOhm   |  Ytresistans, mOhm/s  |        Min        |         Max       |   %-skillnad

2024-11-14 12:06    |    Guld       |    0,300000    |     0,005613    |    0,204131    |         0,037387         |      124,624728       |    124,617539     |    124,635722     |    0,014591
2024-11-14 12:06    |    Guld       |    0,300000    |     0,005620    |    0,204116    |         0,037437         |      124,789042       |    124,784625     |    124,792628     |    0,006413
2024-11-14 12:07    |    Guld       |    0,300000    |     0,005694    |    0,204141    |         0,037926         |      126,419363       |    126,411191     |    126,424071     |    0,010188
2024-11-14 12:07    |    Guld       |    0,300000    |     0,005684    |    0,204129    |         0,037860         |      126,200606       |    126,190982     |    126,206431     |    0,012242
2024-11-14 12:08    |    Guld       |    0,300000    |     0,005776    |    0,204145    |         0,038472         |      128,238960       |    128,228978     |    128,245837     |    0,013147
2024-11-14 12:08    |    Guld       |    0,300000    |     0,005792    |    0,204150    |         0,038577         |      128,589997       |    128,575312     |    128,618216     |    0,033369
2024-11-14 12:09    |    Guld       |    0,300000    |     0,005791    |    0,204138    |         0,038569         |      128,563600       |    128,557143     |    128,567811     |    0,008298
2024-11-14 12:09    |    Guld       |    0,300000    |     0,005744    |    0,204126    |         0,038261         |      127,535441       |    127,151118     |    127,624631     |    0,372402
2024-11-14 12:10    |    Guld       |    0,300000    |     0,005806    |    0,204126    |         0,038673         |      128,909153       |    128,885235     |    128,935589     |    0,039069
2024-11-14 12:10    |    Guld       |    0,300000    |     0,005818    |    0,204121    |         0,038755         |      129,181675       |    129,173842     |    129,191264     |    0,013487
