Datum		    |    Material   |  Tjocklek, um  |   Spänning, V   |    Ström, A    |   Ytresistivitet, uOhm   |  Ytresistans, mOhm/s  |        Min        |         Max       |   %-skillnad

2024-11-19 08:40    |    koppar     |    210,0000    |     0,000003    |    0,500439    |         0,005314         |        0,025307       |      0,024688     |      0,026155     |    5,942312
2024-11-19 08:40    |    koppar     |    210,0000    |     0,000003    |    0,500463    |         0,005224         |        0,024877       |      0,024450     |      0,025823     |    5,615962
2024-11-19 08:40    |    koppar     |    210,0000    |     0,000003    |    0,500454    |         0,005463         |        0,026014       |      0,024576     |      0,027029     |    9,979221
2024-11-19 08:41    |    koppar     |    210,0000    |     0,000003    |    0,500460    |         0,005516         |        0,026265       |      0,025618     |      0,027763     |    8,372256
2024-11-19 08:41    |    koppar     |    210,0000    |     0,000003    |    0,500466    |         0,005460         |        0,025999       |      0,025071     |      0,026862     |    7,141374
2024-11-19 08:41    |    koppar     |    210,0000    |     0,000003    |    0,500475    |         0,005498         |        0,026179       |      0,025306     |      0,026991     |    6,658662
2024-11-19 08:42    |    koppar     |    210,0000    |     0,000003    |    0,500484    |         0,005437         |        0,025892       |      0,024948     |      0,027187     |    8,973036
2024-11-19 08:42    |    koppar     |    210,0000    |     0,000003    |    0,500481    |         0,005204         |        0,024783       |      0,024071     |      0,025437     |    5,674659
2024-11-19 08:43    |    koppar     |    210,0000    |     0,000003    |    0,500470    |         0,005336         |        0,025411       |      0,024349     |      0,026885     |    10,414562
2024-11-19 08:43    |    koppar     |    210,0000    |     0,000003    |    0,500456    |         0,005396         |        0,025697       |      0,023960     |      0,026864     |    12,121153
