Datum		    |    Material   |  Tjocklek, um  |   Spänning, V   |    Ström, A    |   Ytresistivitet, uOhm   |  Ytresistans, mOhm/s  |        Min        |         Max       |   %-skillnad

2024-11-12 14:30    |    koppar     |    210,0000    |     0,000006    |    0,269248    |         0,022910         |        0,109094       |      0,107945     |      0,110165     |    2,056076
2024-11-12 14:31    |    koppar     |    210,0000    |     0,000005    |    0,180257    |         0,024283         |        0,115635       |      0,113778     |      0,117489     |    3,262161
2024-11-12 14:32    |    koppar     |    210,0000    |     0,000004    |    0,166728    |         0,024460         |        0,116475       |      0,114229     |      0,120539     |    5,523658
2024-11-12 14:32    |    koppar     |    210,0000    |     0,000005    |    0,216759    |         0,023878         |        0,113705       |      0,111967     |      0,115532     |    3,184066
2024-11-12 14:33    |    koppar     |    210,0000    |     0,000005    |    0,223516    |         0,023336         |        0,111124       |      0,108772     |      0,112628     |    3,545312
2024-11-12 14:33    |    koppar     |    210,0000    |     0,000005    |    0,185503    |         0,024525         |        0,116785       |      0,115047     |      0,118553     |    3,046687
2024-11-12 14:34    |    koppar     |    210,0000    |     0,000004    |    0,165743    |         0,024606         |        0,117171       |      0,115094     |      0,119465     |    3,797263
2024-11-12 14:34    |    koppar     |    210,0000    |     0,000005    |    0,212578    |         0,023571         |        0,112243       |      0,109844     |      0,114879     |    4,584129
2024-11-12 14:36    |    koppar     |    210,0000    |     0,000006    |    0,236592    |         0,023515         |        0,111978       |      0,109984     |      0,113153     |    2,880857
2024-11-12 14:36    |    koppar     |    210,0000    |     0,000005    |    0,183654    |         0,024033         |        0,114441       |      0,112773     |      0,116021     |    2,879678
