Datum		    |    Material   |  Tjocklek, um  |   Sp nning, V   |    Str m, A    |   Ytresistivitet, uOhm   |  Ytresistans, mOhm/s  |        Min        |         Max       |   %-skillnad

2024-11-19 08:48    |    m ssing    |    220,0000    |     0,000016    |    0,500481    |         0,032640         |        0,148365       |      0,147529     |      0,149125     |    1,081594
2024-11-19 08:49    |    m ssing    |    220,0000    |     0,000015    |    0,500478    |         0,030032         |        0,136508       |      0,135295     |      0,137463     |    1,602420
2024-11-19 08:49    |    m ssing    |    220,0000    |     0,000015    |    0,500467    |         0,030590         |        0,139047       |      0,138416     |      0,140430     |    1,455250
2024-11-19 08:49    |    m ssing    |    220,0000    |     0,000016    |    0,500465    |         0,032019         |        0,145541       |      0,141784     |      0,148668     |    4,855021
2024-11-19 08:50    |    m ssing    |    220,0000    |     0,000015    |    0,500460    |         0,030642         |        0,139280       |      0,137591     |      0,140704     |    2,262404
2024-11-19 08:50    |    m ssing    |    220,0000    |     0,000016    |    0,500478    |         0,031137         |        0,141534       |      0,140743     |      0,142322     |    1,121561
2024-11-19 08:51    |    m ssing    |    220,0000    |     0,000016    |    0,500470    |         0,031430         |        0,142863       |      0,142081     |      0,143812     |    1,218277
2024-11-19 08:51    |    m ssing    |    220,0000    |     0,000015    |    0,500471    |         0,030675         |        0,139432       |      0,138674     |      0,140355     |    1,212127
2024-11-19 08:51    |    m ssing    |    220,0000    |     0,000016    |    0,500481    |         0,031742         |        0,144284       |      0,142395     |      0,145979     |    2,516975
2024-11-19 08:52    |    m ssing    |    220,0000    |     0,000016    |    0,500496    |         0,031189         |        0,141769       |      0,139870     |      0,142793     |    2,090111
