Datum		    |    Material   |  Tjocklek, um  |   Spänning, V   |    Ström, A    |   Ytresistivitet, uOhm   |  Ytresistans, mOhm/s  |        Min        |         Max       |   %-skillnad

2024-11-12 14:23    |    mässing    |    220,0000    |     0,000014    |    0,193783    |         0,073133         |        0,332421       |      0,328301     |      0,335739     |    2,265542
2024-11-12 14:24    |    mässing    |    220,0000    |     0,000016    |    0,223316    |         0,071998         |        0,327264       |      0,322326     |      0,331787     |    2,935097
2024-11-12 14:24    |    mässing    |    220,0000    |     0,000014    |    0,189426    |         0,073324         |        0,333292       |      0,330248     |      0,335259     |    1,517182
2024-11-12 14:25    |    mässing    |    220,0000    |     0,000012    |    0,158213    |         0,075804         |        0,344563       |      0,340618     |      0,349595     |    2,635491
2024-11-12 14:25    |    mässing    |    220,0000    |     0,000016    |    0,209759    |         0,073785         |        0,335386       |      0,332693     |      0,339921     |    2,172530
2024-11-12 14:26    |    mässing    |    220,0000    |     0,000017    |    0,221311    |         0,075059         |        0,341177       |      0,338966     |      0,344189     |    1,540779
2024-11-12 14:26    |    mässing    |    220,0000    |     0,000015    |    0,191037    |         0,076830         |        0,349227       |      0,346877     |      0,352081     |    1,500303
2024-11-12 14:27    |    mässing    |    220,0000    |     0,000014    |    0,184383    |         0,076147         |        0,346122       |      0,343467     |      0,349341     |    1,710361
2024-11-12 14:27    |    mässing    |    220,0000    |     0,000016    |    0,213775    |         0,074733         |        0,339694       |      0,336090     |      0,342333     |    1,857467
2024-11-12 14:28    |    mässing    |    220,0000    |     0,000017    |    0,230909    |         0,074174         |        0,337156       |      0,335248     |      0,339465     |    1,257914
