Datum		    |    Material   |  Tjocklek, um  |   Spänning, V   |    Ström, A    |   Ytresistivitet, uOhm   |  Ytresistans, mOhm/s  |        Min        |         Max       |   %-skillnad

2024-11-12 15:18    |    stål       |    100,0000    |     0,000177    |    0,209456    |         0,383373         |        3,833733       |      3,830818     |      3,841664     |    0,283134
2024-11-12 15:18    |    stål       |    100,0000    |     0,000171    |    0,202935    |         0,382817         |        3,828168       |      3,824186     |      3,842609     |    0,481764
2024-11-12 15:19    |    stål       |    100,0000    |     0,000182    |    0,214484    |         0,385392         |        3,853919       |      3,849843     |      3,864957     |    0,392585
2024-11-12 15:19    |    stål       |    100,0000    |     0,000156    |    0,182911    |         0,386070         |        3,860701       |      3,853838     |      3,866551     |    0,329896
2024-11-12 15:20    |    stål       |    100,0000    |     0,000185    |    0,214351    |         0,390658         |        3,906576       |      3,903599     |      3,914515     |    0,279652
2024-11-12 15:20    |    stål       |    100,0000    |     0,000164    |    0,193899    |         0,383953         |        3,839530       |      3,835754     |      3,841873     |    0,159529
2024-11-12 15:21    |    stål       |    100,0000    |     0,000168    |    0,194752    |         0,390420         |        3,904196       |      3,878979     |      3,911785     |    0,845724
2024-11-12 15:21    |    stål       |    100,0000    |     0,000191    |    0,217854    |         0,396941         |        3,969415       |      3,936912     |      4,014984     |    1,983065
2024-11-12 15:22    |    stål       |    100,0000    |     0,000187    |    0,211717    |         0,399849         |        3,998486       |      3,974438     |      4,017021     |    1,071407
2024-11-12 15:23    |    stål       |    100,0000    |     0,000159    |    0,183968    |         0,391993         |        3,919926       |      3,900472     |      3,936168     |    0,915167

