Datum		    |    Material   |  Tjocklek, um  |   Spänning, V   |    Ström, A    |   Ytresistivitet, uOhm   |  Ytresistans, mOhm/s  |        Min        |         Max       |   %-skillnad

2024-11-12 13:39    |    stål       |    50,00000    |     0,000644    |    0,193542    |         0,754331         |       15,086615       |     15,071087     |     15,113318     |    0,280213
2024-11-12 13:39    |    stål       |    50,00000    |     0,000713    |    0,214579    |         0,753380         |       15,067608       |     15,008892     |     15,111423     |    0,683140
2024-11-12 13:40    |    stål       |    50,00000    |     0,000659    |    0,194548    |         0,768149         |       15,362980       |     15,357100     |     15,368133     |    0,071848
2024-11-12 13:41    |    stål       |    50,00000    |     0,000735    |    0,218634    |         0,761913         |       15,238258       |     15,088513     |     15,340107     |    1,667451
2024-11-12 13:41    |    stål       |    50,00000    |     0,000790    |    0,241379    |         0,741971         |       14,839414       |     14,572905     |     14,986986     |    2,841441
2024-11-12 13:42    |    stål       |    50,00000    |     0,000553    |    0,159525    |         0,785038         |       15,700761       |     15,488919     |     16,660428     |    7,563530
2024-11-12 13:43    |    stål       |    50,00000    |     0,001028    |    0,305932    |         0,760806         |       15,216112       |     14,892928     |     15,346399     |    3,044877
2024-11-12 13:44    |    stål       |    50,00000    |     0,000618    |    0,184762    |         0,757387         |       15,147741       |     15,140904     |     15,155776     |    0,098225
2024-11-12 13:44    |    stål       |    50,00000    |     0,000720    |    0,221294    |         0,737214         |       14,744274       |     14,663466     |     14,847366     |    1,254142
2024-11-12 13:45    |    stål       |    50,00000    |     0,000401    |    0,122349    |         0,742041         |       14,840821       |     13,714925     |     15,197043     |    10,806610
