Datum		    |    Material   |  Tjocklek, um  |   Spänning, V   |    Ström, A    |   Ytresistivitet, uOhm   |  Ytresistans, mOhm/s  |        Min        |         Max       |   %-skillnad

2024-11-14 10:26    |    TiN        |    0,100000    |     0,016424    |    0,010150    |         0,733398         |     7333,975591       |   7332,091841     |   7337,206586     |    0,069758
2024-11-14 10:26    |    TiN        |    0,100000    |     0,016648    |    0,010057    |         0,750274         |     7502,739046       |   7501,971404     |   7504,035103     |    0,027509
2024-11-14 10:27    |    TiN        |    0,100000    |     0,016209    |    0,009787    |         0,750643         |     7506,432454       |   7505,532626     |   7507,436650     |    0,025368
2024-11-14 10:27    |    TiN        |    0,100000    |     0,016373    |    0,010240    |         0,724683         |     7246,834265       |   7238,981307     |   7252,995902     |    0,193599
2024-11-14 10:28    |    TiN        |    0,100000    |     0,016734    |    0,010380    |         0,730653         |     7306,526307       |   7302,192498     |   7314,540425     |    0,169099
2024-11-14 10:28    |    TiN        |    0,100000    |     0,015104    |    0,009582    |         0,714386         |     7143,861069       |   7143,309318     |   7145,035358     |    0,024163
2024-11-14 10:28    |    TiN        |    0,100000    |     0,016407    |    0,010219    |         0,727697         |     7276,972649       |   7275,955399     |   7277,798476     |    0,025331
2024-11-14 10:29    |    TiN        |    0,100000    |     0,015088    |    0,009513    |         0,718868         |     7188,683710       |   7150,626541     |   7233,603131     |    1,160410
2024-11-14 10:29    |    TiN        |    0,100000    |     0,016492    |    0,010128    |         0,738007         |     7380,065031       |   7378,319738     |   7387,483503     |    0,124199
2024-11-14 10:30    |    TiN        |    0,100000    |     0,015893    |    0,009741    |         0,739468         |     7394,675535       |   7394,006626     |   7395,253320     |    0,016861
