Datum		    |    Material   |  Tjocklek, um  |   Spänning, V   |    Ström, A    |   Ytresistivitet, uOhm   |  Ytresistans, mOhm/s  |        Min        |         Max       |   %-skillnad

2024-11-14 12:28    |    TiN        |    0,100000    |     0,047786    |    0,010599    |         2,043472         |     20434,71741       |   20425,34713     |   20446,93677     |    0,105700
2024-11-14 12:29    |    TiN        |    0,100000    |     0,048148    |    0,010606    |         2,057623         |     20576,22530       |   20569,06549     |   20583,58310     |    0,070580
2024-11-14 12:29    |    TiN        |    0,100000    |     0,049098    |    0,010606    |         2,098178         |     20981,77737       |   20964,44233     |   20990,01548     |    0,121983
2024-11-14 12:29    |    TiN        |    0,100000    |     0,048852    |    0,010609    |         2,087071         |     20870,70708       |   20860,46719     |   20879,73930     |    0,092386
2024-11-14 12:30    |    TiN        |    0,100000    |     0,050403    |    0,010618    |         2,151602         |     21516,01682       |   21507,00230     |   21526,03698     |    0,088505
2024-11-14 12:30    |    TiN        |    0,100000    |     0,049599    |    0,010615    |         2,117767         |     21177,67233       |   21161,65992     |   21190,73657     |    0,137402
2024-11-14 12:31    |    TiN        |    0,100000    |     0,047993    |    0,010601    |         2,051885         |     20518,84907       |   20503,79127     |   20532,47128     |    0,139877
2024-11-14 12:31    |    TiN        |    0,100000    |     0,048242    |    0,010608    |         2,061251         |     20612,51482       |   20599,47488     |   20626,57676     |    0,131566
2024-11-14 12:31    |    TiN        |    0,100000    |     0,048842    |    0,010593    |         2,089790         |     20897,89958       |   20888,88388     |   20905,34748     |    0,078815
2024-11-14 12:32    |    TiN        |    0,100000    |     0,048769    |    0,010590    |         2,087156         |     20871,55751       |   20854,25900     |   20890,03688     |    0,171562

